会員ID,登録施設,性別,生まれ年,回答時の年齢,年代,都道府県,会員市町村,世帯年収,UA,回答日時,回答月,回答エリア,回答エリア2,市町村,6分類,DMO,宿泊数（全体）,宿泊数（県内）,宿泊エリア（県内）,宿泊エリア（県外）,同行者,訪問目的ALL,宿でのんびり過ごす,温泉や露天風呂,地元の美味しいものを食べる,花見や紅葉などの自然鑑賞,名所、旧跡の観光,テーマパーク（遊園地、動物園、博物館など）,買い物、アウトレット,お祭りやイベントへの参加・見物,スポーツ観戦や芸能鑑賞（コンサート等）,アウトドア（海水浴、釣り、登山など）,まちあるき、都市散策,各種体験（手作り、果物狩りなど）,スキー・スノボ、マリンスポーツ,その他スポーツ（ゴルフ、テニスなど）,ドライブ・ツーリング,友人・親戚を尋ねる,出張など仕事関係,訪問目的その他,情報収集ALL,観光展・物産展,新聞・雑誌・ガイドブック,TV・ラジオ番組やCM,観光パンフレット・ポスター,観光連盟やDMOのHP,インターネット・アプリ,Twitter,Instagram,Facebook,ブログ,友人・知人,観光協会等の案内所,タクシードライバーや地元の人,宿泊施設,情報収集その他,福井県までの交通手段ALL,自家用車,レンタカー,新幹線,在来線,飛行機,旅行会社ツアーバス,県外から訪れていない（福井県在住）,福井県までの交通手段その他,福井県内での交通手段ALL,自家用車2,レンタカー2,タクシー,在来線2,旅行会社ツアーバス2,路線バス,徒歩,レンタサイクル,福井県内での交通手段その他,福井県内での交通手段の満足度,福井県内での交通手段の満足度の理由,宿泊費,交通費,県内消費額,エリア訪問回数,アンケート回答前に訪問した主な場所,アンケート回答前に訪問した主な場所FA,アンケート回答後に訪問する予定の主な場所,アンケート回答後に訪問する予定の主な場所FA,エリア総消費額,満足度,満足度の理由,不便さ,不便さの内容,NPS,推奨項目,施設に求めるもの,今後の来訪意向
105887,越前陶芸村 エリア,女,1968,54,50代,大阪府,大阪市住之江区,100万円未満,mobile/iphone,44717.52126,6月,越前陶芸村 エリア,41.越前陶芸村 エリア,越前町,丹南,0,1泊,1泊,越前エリア（越前市・越前町・鯖江市・池田町・南越前町）,福井県外には宿泊しない,自分ひとり,"地元の美味しいものを食べる
名所、旧跡の観光
買い物、アウトレット
まちあるき、都市散策
各種体験（手作り、果物狩りなど）
",0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,"観光展・物産展
インターネット・アプリ
Twitter
Instagram
Facebook
観光協会等の案内所
",1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,0,とても満足,,"5,000円以上 10,000円未満","5,000円以上 10,000円未満","5,000円以上 10,000円未満",11回目以上,西山動物園,最高に気持ちいい、リフレッシュできた,東尋坊,絶景を見たい,"1,000円以上 3,000円未満",とても満足,,感じなかった,,10,,,また行きたい（1年以内）
105864,あわら温泉 エリア,男,1959,63,60代,神奈川県,横浜市栄区,400万円以上 500万円未満,mobile/iphone,44717.51727,6月,永平寺門前 エリア,25.永平寺門前 エリア,永平寺町,福井市・永平寺町,0,1泊,1泊,三国・あわらエリア（あわら市・坂井市）,福井県外には宿泊しない,夫婦2人,"まちあるき、都市散策
",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"新聞・雑誌・ガイドブック
",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"飛行機
",0,0,0,0,1,0,0,0,"レンタカー
その他
",0,1,0,0,0,0,0,0,飛行機,満足,"飛行機が遅れることもなく、レンタカーでの移動も順調だった。
福井各所の景色も美しく気持ちがよかった。","10,000円以上 20,000円未満","30,000円以上 40,000円未満","5,000円以上 10,000円未満",初めて,丸岡城,,あわら温泉街,,"5,000円以上 10,000円未満",満足,"永平寺に一度来てみたかった。期待通りだった。
門前の食堂のそばの出汁が美味しかった。",感じなかった,特になし,9,永平寺は一度来た方が良いと思う。,"とろろ蕎麦が美味しかった。
ごちそうさまでした。",機会があれば行きたい
105882,熊川宿 エリア,男,1955,67,60代,京都府,京都市伏見区,分からない/無回答,mobile/iphone,44717.51661,6月,熊川宿 エリア,62.熊川宿 エリア,若狭町,嶺南東部,0,1泊,1泊,越前エリア（越前市・越前町・鯖江市・池田町・南越前町）,福井県外には宿泊しない,自分ひとり,"ドライブ・ツーリング
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"その他
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"自家用車
",1,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,0,,,使わない,"3,000円以上 5,000円未満","5,000円以上 10,000円未満",11回目以上,選択なし/該当施設なし,妙楽寺,選択なし/該当施設なし,,"1,000円未満",どちらでもない,ソースカツ丼があまり美味しくなかった,感じなかった,,10,,,また行きたい（1年以内）
105791,めがねミュージアム エリア,男,1988,34,30代,京都府,京都市左京区,700万円以上 800万円未満,mobile/iphone,44717.51266,6月,道の駅「九頭竜」 エリア,17.道の駅「九頭竜」 エリア,大野市,勝山市・大野市,0,3泊,1泊,福井エリア（福井市・永平寺町）,富山、岐阜,夫婦2人,"名所、旧跡の観光
",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,0,,,"5,000円以上 10,000円未満","3,000円以上 5,000円未満","1,000円以上 3,000円未満",初めて,越前大野城,,選択なし/該当施設なし,,"1,000円未満",満足,ランチできる机があった,感じた,トイレが綺麗とは言えない,5,,,機会があれば行きたい
105877,越前そばの里 エリア,男,1965,57,50代,滋賀県,長浜市,"1,000万円以上 1,200万円未満",mobile/iphone,44717.51084,6月,越前そばの里 エリア,29.越前そばの里 エリア,越前市,丹南,0,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,夫婦2人,"お祭りやイベントへの参加・見物
",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,0,満足,,"10,000円以上 20,000円未満","10,000円以上 20,000円未満","10,000円以上 20,000円未満",初めて,選択なし/該当施設なし,,選択なし/該当施設なし,,"5,000円以上 10,000円未満",満足,,感じなかった,,10,,,
105864,あわら温泉 エリア,男,1959,63,60代,神奈川県,横浜市栄区,400万円以上 500万円未満,mobile/iphone,44717.50854,6月,一乗谷朝倉氏遺跡 エリア,01.一乗谷朝倉氏遺跡 エリア,福井市,福井市・永平寺町,0,1泊,1泊,三国・あわらエリア（あわら市・坂井市）,福井県外には宿泊しない,夫婦2人,"まちあるき、都市散策
",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"新聞・雑誌・ガイドブック
",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"飛行機
",0,0,0,0,1,0,0,0,"レンタカー
",0,1,0,0,0,0,0,0,0,満足,道路も空いていて、景色も良く、楽しいドライブだった。,"10,000円以上 20,000円未満","30,000円以上 40,000円未満","5,000円以上 10,000円未満",初めて,あわら温泉街,,平泉寺白山神社,,"3,000円以上 5,000円未満",とても満足,歴史を感じた。思っていた以上に素晴らしかった。〔特に庭園）,感じなかった,,10,"素晴らしい遺跡だと思う。
案内してくださったボランティアの方も素晴らしかった。",ボランティアの方のおかげで、より充実した見学となった。今後も是非活動を続けていただきたい。,機会があれば行きたい
105866,道の駅「南えちぜん山海里」 エリア,女,1963,59,50代,福井県,越前市,400万円以上 500万円未満,mobile/iphone,44717.50787,6月,道の駅「南えちぜん山海里」 エリア,43.道の駅「南えちぜん山海里」 エリア,南越前町,丹南,0,日帰り,1泊,越前エリア（越前市・越前町・鯖江市・池田町・南越前町）,福井県外には宿泊しない,夫婦2人,"地元の美味しいものを食べる
名所、旧跡の観光
",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"新聞・雑誌・ガイドブック
観光パンフレット・ポスター
",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,0,,,使わない,"5,000円以上 10,000円未満","5,000円以上 10,000円未満",2～5回目,選択なし/該当施設なし,,選択なし/該当施設なし,,"5,000円以上 10,000円未満",満足,,感じなかった,,10,,,福井県在住
105867,web,女,1983,39,30代,愛知県,一宮市,100万円未満,mobile/iphone,44717.50626,6月,越前そばの里 エリア,29.越前そばの里 エリア,越前市,丹南,0,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,恋人,"スポーツ観戦や芸能鑑賞（コンサート等）
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"インターネット・アプリ
ブログ
",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,0,,,使わない,"3,000円以上 5,000円未満","10,000円以上 20,000円未満",初めて,選択なし/該当施設なし,,めがねミュージアム,,"3,000円以上 5,000円未満",とても満足,,感じなかった,,4,,,また行きたい（1年以内）
105868,越前そばの里 エリア,女,1980,42,40代,滋賀県,近江八幡市,400万円以上 500万円未満,mobile/iphone,44717.50584,6月,越前そばの里 エリア,29.越前そばの里 エリア,越前市,丹南,0,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,友人,"地元の美味しいものを食べる
お祭りやイベントへの参加・見物
ドライブ・ツーリング
",0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,0,,,"5,000円以上 10,000円未満","5,000円以上 10,000円未満","10,000円以上 20,000円未満",初めて,選択なし/該当施設なし,,選択なし/該当施設なし,,"5,000円以上 10,000円未満",満足,蕎麦を堪能できた。,感じなかった,,5,車でも道のりが分かりやすかったから。,,また行きたい（1年以内）
105864,あわら温泉 エリア,男,1959,63,60代,神奈川県,横浜市栄区,400万円以上 500万円未満,mobile/iphone,44717.49793,6月,あわら温泉 エリア,11.あわら温泉 エリア,あわら市,あわら市・坂井市,0,1泊,1泊,三国・あわらエリア（あわら市・坂井市）,福井県外には宿泊しない,夫婦2人,"宿でのんびり過ごす
温泉や露天風呂
地元の美味しいものを食べる
名所、旧跡の観光
まちあるき、都市散策
",1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"新聞・雑誌・ガイドブック
",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"レンタカー
飛行機
",0,1,0,0,1,0,0,0,"レンタカー
",0,1,0,0,0,0,0,0,0,満足,快適なドライブだった,"10,000円以上 20,000円未満","30,000円以上 40,000円未満","5,000円以上 10,000円未満",初めて,丸岡城,,一乗谷朝倉氏遺跡,,"50,000円以上 100,000円未満",とても満足,温泉が気持ちよかった。,感じなかった,,8,親切で良い宿で、のんびりできた。,温泉が気持ちよかったので、これで良いと思う。,機会があれば行きたい
105865,あわら温泉 エリア,女,1973,49,40代,福井県,福井市,400万円以上 500万円未満,mobile/iphone,44717.49574,6月,あわら温泉 エリア,11.あわら温泉 エリア,あわら市,あわら市・坂井市,0,日帰り,1泊,三国・あわらエリア（あわら市・坂井市）,福井県外には宿泊しない,小学生以下連れの家族,"宿でのんびり過ごす
温泉や露天風呂
地元の美味しいものを食べる
テーマパーク（遊園地、動物園、博物館など）
",1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Instagram
友人・知人
",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,"県外から訪れていない（福井県在住）
",0,0,0,0,0,0,1,0,"自家用車
",1,0,0,0,0,0,0,0,0,,,"10,000円以上 20,000円未満",使わない,"5,000円以上 10,000円未満",11回目以上,福井県立恐竜博物館,,東尋坊,,"3,000円以上 5,000円未満",どちらでもない,Amariasobutokoroganai,感じなかった,Nai,5,,,福井県在住
105861,金ヶ崎 エリア,男,1981,41,40代,福井県,吉田郡,400万円以上 500万円未満,mobile/iphone,44717.48523,6月,金ヶ崎 エリア,49.金ヶ崎 エリア,敦賀市,嶺南東部,0,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,自分ひとり,"名所、旧跡の観光
",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"ブログ
友人・知人
",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,"県外から訪れていない（福井県在住）
",0,0,0,0,0,0,1,0,"自家用車
",1,0,0,0,0,0,0,0,0,満足,駐車場があった,"1,000円以上 3,000円未満","5,000円以上 10,000円未満","1,000円以上 3,000円未満",2～5回目,選択なし/該当施設なし,東尋坊,選択なし/該当施設なし,,"1,000円以上 3,000円未満",満足,駐車場がある,感じた,買い物できる場所がない,5,,,機会があれば行きたい
105853,スーベニアショップ ラプトル エリア,女,1963,59,50代,高知県,南国市,600万円以上 700万円未満,mobile/iphone,44717.48476,6月,スーベニアショップ ラプトル エリア,19.スーベニアショップ ラプトル エリア,勝山市,勝山市・大野市,勝山市観光まちづくり(株),1泊,1泊,福井エリア（福井市・永平寺町）,福井県外には宿泊しない,中学生以上連れの家族,"スポーツ観戦や芸能鑑賞（コンサート等）
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,0,,,"10,000円以上 20,000円未満","20,000円以上 30,000円未満","40,000円以上 50,000円未満",2～5回目,福井県立恐竜博物館,,若狭歴史博物館,,"5,000円以上 10,000円未満",満足,,感じなかった,,7,,,また行きたい（1年以内）
105860,越前そばの里 エリア,無回答,1970,52,50代,福井県,福井市,分からない/無回答,mobile/android,44717.48108,6月,越前そばの里 エリア,29.越前そばの里 エリア,越前市,丹南,0,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,夫婦2人,"買い物、アウトレット
",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"県外から訪れていない（福井県在住）
",0,0,0,0,0,0,1,0,"自家用車
",1,0,0,0,0,0,0,0,0,,,使わない,"1,000円以上 3,000円未満","1,000円以上 3,000円未満",初めて,氣比神宮,,選択なし/該当施設なし,,"1,000円以上 3,000円未満",満足,,感じなかった,,8,,,機会があれば行きたい
105854,あわら温泉 エリア,女,1974,48,40代,福井県,福井市,200万円以上 300万円未満,mobile/android,44717.47962,6月,あわら温泉 エリア,11.あわら温泉 エリア,あわら市,あわら市・坂井市,0,1泊,1泊,三国・あわらエリア（あわら市・坂井市）,福井県外には宿泊しない,中学生以上連れの家族,"温泉や露天風呂
",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"観光展・物産展
インターネット・アプリ
Instagram
",1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,"県外から訪れていない（福井県在住）
",0,0,0,0,0,0,1,0,"自家用車
",1,0,0,0,0,0,0,0,0,,,"10,000円以上 20,000円未満","3,000円以上 5,000円未満","5,000円以上 10,000円未満",11回目以上,東尋坊,,ゆりの里公園ユリーム春江,,"3,000円以上 5,000円未満",満足,温泉が気持ちいい,感じなかった,,8,温泉,美味しいスィーツ,福井県在住
105850,越前そばの里 エリア,女,1980,42,40代,富山県,南砺市,800万円以上 900万円未満,mobile/android,44717.47247,6月,越前そばの里 エリア,29.越前そばの里 エリア,越前市,丹南,0,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,小学生以下連れの家族,"地元の美味しいものを食べる
その他
",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,イチゴ狩り,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,0,,,使わない,使わない,"3,000円以上 5,000円未満",2～5回目,選択なし/該当施設なし,イチゴ狩り,選択なし/該当施設なし,セカンドストリート,"1,000円以上 3,000円未満",とても満足,食事どころが広くて清潔で、お食事もおいしかったから。,感じなかった,,8,"イチゴ狩りからのお蕎麦を食べる

イチゴの美味しさに感動しました??",,また行きたい（1年以内）
105712,スーベニアショップ ラプトル エリア,女,1977,45,40代,東京都,日野市,"1,200万円以上 1,500万円未満",mobile/android,44717.46985,6月,永平寺門前 エリア,25.永平寺門前 エリア,永平寺町,福井市・永平寺町,0,2泊,2泊,三国・あわらエリア（あわら市・坂井市）,福井県外には宿泊しない,夫婦2人,"温泉や露天風呂
",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"新聞・雑誌・ガイドブック
",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"飛行機
",0,0,0,0,1,0,0,0,"レンタカー
",0,1,0,0,0,0,0,0,0,どちらでもない,,"50,000円以上 100,000円未満","1,000円以上 3,000円未満","10,000円以上 20,000円未満",初めて,選択なし/該当施設なし,,選択なし/該当施設なし,,"1,000円未満",満足,,感じた,駐車場が時間単位だったり、日単位だったり分かりにくい。騙された感じ。,8,,,どちらともいえない
105849,道の駅「パークイン丹生ヶ丘」 エリア,女,1982,40,40代,福井県,鯖江市,300万円以上 400万円未満,mobile/iphone,44717.46906,6月,道の駅「パークイン丹生ヶ丘」 エリア,39.道の駅「パークイン丹生ヶ丘」 エリア,越前町,丹南,0,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,小学生以下連れの家族,"地元の美味しいものを食べる
花見や紅葉などの自然鑑賞
",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"インターネット・アプリ
Instagram
",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,"その他
",0,0,0,0,0,0,0,1,"自家用車
",1,0,0,0,0,0,0,0,0,,,"3,000円以上 5,000円未満","1,000円以上 3,000円未満","20,000円以上 30,000円未満",初めて,金津創作の森,,選択なし/該当施設なし,,"1,000円以上 3,000円未満",満足,,感じなかった,,7,,,また行きたい（1年以内）
104644,福井駅前 エリア,男,1949,73,70代,福井県,福井市,300万円以上 400万円未満,mobile/android,44717.46003,6月,福井駅前 エリア,04.福井駅前 エリア,福井市,福井市・永平寺町,0,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,自分ひとり,"お祭りやイベントへの参加・見物
",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"新聞・雑誌・ガイドブック
",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"その他
",0,0,0,0,0,0,0,バス,"路線バス
",0,0,0,0,0,1,0,0,0,,,使わない,"1,000円以上 3,000円未満","5,000円以上 10,000円未満",11回目以上,選択なし/該当施設なし,ハピリン,選択なし/該当施設なし,,"5,000円以上 10,000円未満",満足,,感じなかった,,3,,,福井県在住
105839,web,男,1956,66,60代,福井県,勝山市,300万円以上 400万円未満,mobile/iphone,44717.45536,6月,花の駅 ゆりの里公園 エリア,09.花の駅 ゆりの里公園 エリア,坂井市,あわら市・坂井市,(一社)DMOさかい観光局,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,夫婦2人,"花見や紅葉などの自然鑑賞
買い物、アウトレット
",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"新聞・雑誌・ガイドブック
TV・ラジオ番組やCM
",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,0,不満,駐車場が少ない,使わない,"1,000円以上 3,000円未満","5,000円以上 10,000円未満",2～5回目,選択なし/該当施設なし,三国道の駅,選択なし/該当施設なし,,"1,000円以上 3,000円未満",どちらでもない,,感じなかった,,8,,,福井県在住
105791,めがねミュージアム エリア,男,1988,34,30代,京都府,京都市左京区,700万円以上 800万円未満,mobile/iphone,44717.45212,6月,道の駅「越前おおの荒島の郷」 エリア,16.道の駅「越前おおの荒島の郷」 エリア,大野市,勝山市・大野市,0,3泊,1泊,福井エリア（福井市・永平寺町）,富山、岐阜,夫婦2人,"名所、旧跡の観光
",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,0,,,"5,000円以上 10,000円未満","3,000円以上 5,000円未満","1,000円以上 3,000円未満",初めて,越前大野城,,選択なし/該当施設なし,,"1,000円未満",満足,,感じなかった,,6,,,機会があれば行きたい
105841,越前大野城・城下町 エリア,女,1995,27,20代,福岡県,柳川市,200万円以上 300万円未満,mobile/iphone,44717.45193,6月,越前大野城・城下町 エリア,15.越前大野城・城下町 エリア,大野市,勝山市・大野市,0,2泊,2泊,奥越前エリア（勝山市・大野市）,石川県金沢市,友人,"地元の美味しいものを食べる
",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"友人・知人
",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"在来線
飛行機
",0,0,0,1,1,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,0,とても満足,,"3,000円以上 5,000円未満","30,000円以上 40,000円未満","3,000円以上 5,000円未満",初めて,福井駅,,選択なし/該当施設なし,,"1,000円以上 3,000円未満",とても満足,,感じなかった,,10,,,また行きたい（1年以内）
105840,道の駅「パークイン丹生ヶ丘」 エリア,男,1978,44,40代,福井県,越前市,300万円以上 400万円未満,mobile/android,44717.45002,6月,道の駅「パークイン丹生ヶ丘」 エリア,39.道の駅「パークイン丹生ヶ丘」 エリア,越前町,丹南,0,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,自分ひとり,"宿でのんびり過ごす
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"観光展・物産展
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"自家用車
在来線
",1,0,0,1,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,0,とても満足,,"5,000円以上 10,000円未満","5,000円以上 10,000円未満","5,000円以上 10,000円未満",2～5回目,選択なし/該当施設なし,,選択なし/該当施設なし,,"1,000円未満",とても満足,,感じなかった,,3,,,
101759,web,女,1980,42,40代,福井県,坂井市,分からない/無回答,mobile/android,44717.44966,6月,道の駅「パークイン丹生ヶ丘」 エリア,39.道の駅「パークイン丹生ヶ丘」 エリア,越前町,丹南,0,1泊,1泊,越前エリア（越前市・越前町・鯖江市・池田町・南越前町）,福井県外には宿泊しない,小学生以下連れの家族,"宿でのんびり過ごす
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Instagram
",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,0,,,"3,000円以上 5,000円未満","3,000円以上 5,000円未満","1,000円以上 3,000円未満",2～5回目,選択なし/該当施設なし,,選択なし/該当施設なし,,"1,000円以上 3,000円未満",満足,,感じなかった,,3,,,
105830,web,女,1960,62,60代,大阪府,豊中市,分からない/無回答,mobile/iphone,44717.43209,6月,かずら橋 エリア,37.かずら橋 エリア,池田町,丹南,0,2泊,2泊,越前エリア（越前市・越前町・鯖江市・池田町・南越前町）,福井県外には宿泊しない,中学生以上連れの家族,"温泉や露天風呂
地元の美味しいものを食べる
名所、旧跡の観光
スポーツ観戦や芸能鑑賞（コンサート等）
まちあるき、都市散策
",0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,"観光展・物産展
TV・ラジオ番組やCM
観光パンフレット・ポスター
インターネット・アプリ
Instagram
",1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,0,,,"10,000円以上 20,000円未満","5,000円以上 10,000円未満","10,000円以上 20,000円未満",初めて,一乗谷朝倉氏遺跡,三方五湖,あわら温泉街,,"1,000円未満",どちらでもない,かずら橋には感動がありましたが、アンケート内容が盛りだくさんで&hellip;,感じなかった,,10,勧めたくないけど&hellip;一乗谷での源氏蛍が幻想的で感動しました。,,機会があれば行きたい
104901,うるしの里 エリア,男,1988,34,30代,福井県,福井市,800万円以上 900万円未満,mobile/iphone,44717.42811,6月,道の駅「パークイン丹生ヶ丘」 エリア,39.道の駅「パークイン丹生ヶ丘」 エリア,越前町,丹南,0,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,小学生以下連れの家族,"テーマパーク（遊園地、動物園、博物館など）
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"観光展・物産展
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,0,とても満足,,"1,000円以上 3,000円未満",使わない,"1,000円未満",初めて,選択なし/該当施設なし,,選択なし/該当施設なし,,"1,000円未満",とても満足,,感じなかった,,7,,,
105831,web,女,1987,35,30代,大阪府,豊中市,分からない/無回答,mobile/iphone,44717.42775,6月,かずら橋 エリア,37.かずら橋 エリア,池田町,丹南,0,2泊,2泊,越前エリア（越前市・越前町・鯖江市・池田町・南越前町）,福井県外には宿泊しない,親,"お祭りやイベントへの参加・見物
",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"新聞・雑誌・ガイドブック
観光パンフレット・ポスター
観光連盟やDMOのHP
インターネット・アプリ
Instagram
観光協会等の案内所
",0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,0,,,"10,000円以上 20,000円未満","5,000円以上 10,000円未満","10,000円以上 20,000円未満",初めて,一乗谷朝倉氏遺跡,,あわら温泉街,,"1,000円未満",満足,,感じなかった,,4,,,機会があれば行きたい
101759,web,女,1980,42,40代,福井県,坂井市,分からない/無回答,mobile/android,44717.401,6月,道の駅「西山公園」 エリア,32.道の駅「西山公園」 エリア,鯖江市,丹南,0,1泊,1泊,越前エリア（越前市・越前町・鯖江市・池田町・南越前町）,福井県外には宿泊しない,小学生以下連れの家族,"宿でのんびり過ごす
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Instagram
",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,0,,,"3,000円以上 5,000円未満","3,000円以上 5,000円未満","1,000円以上 3,000円未満",6～10回目,選択なし/該当施設なし,,選択なし/該当施設なし,,"1,000円以上 3,000円未満",満足,,感じなかった,,2,,,
105823,レインボーライン エリア,男,1959,63,60代,滋賀県,長浜市,600万円以上 700万円未満,mobile/iphone,44717.40032,6月,レインボーライン エリア,59.レインボーライン エリア,美浜町,嶺南東部,三方五湖DMO(株),日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,夫婦2人,"地元の美味しいものを食べる
花見や紅葉などの自然鑑賞
",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,0,満足,,使わない,"3,000円以上 5,000円未満","3,000円以上 5,000円未満",2～5回目,選択なし/該当施設なし,,選択なし/該当施設なし,,"3,000円以上 5,000円未満",満足,,感じなかった,,8,,,また行きたい（1年以内）
